(1,1)
(2,2)
(3,29)
(4,28)
(5,27)
(6,26)
(7,25)
(8,24)
(9,23)
(10,22)
(11,21)
(12,20)
(13,19)
(14,18)
(15,17)
(16,16)
(17,15)
(18,14)
(19,13)
(20,12)
(21,11)
(22,10)
(23,9)
(24,8)
(25,7)
(26,6)
(27,5)
(28,4)
(29,3)
(30,98)
(31,97)
(32,96)
(33,95)
(34,94)
(35,93)
(36,92)
(37,91)
(38,90)
(39,89)
(40,88)
(41,87)
(42,86)
(43,85)
(44,84)
(45,83)
(46,82)
(47,81)
(48,80)
(49,79)
(50,78)
(51,77)
(52,76)
(53,75)
(54,74)
(55,73)
(56,72)
(57,71)
(58,70)
(59,69)
(60,68)
(61,67)
(62,66)
(63,65)
(64,64)
(65,63)
(66,62)
(67,61)
(68,60)
(69,59)
(70,58)
(71,57)
(72,56)
(73,55)
(74,54)
(75,53)
(76,52)
(77,51)
(78,50)
(79,49)
(80,48)
(81,47)
(82,46)
(83,45)
(84,44)
(85,43)
(86,42)
(87,41)
(88,40)
(89,39)
(90,38)
(91,37)
(92,36)
(93,35)
(94,34)
(95,33)
(96,32)
(97,31)
(98,30)
