3
20
40 10
54 20
60 40
70 45
86 39
90 40
112 60
200 113
250 50
350 89
300 200
256 201
130 240
76 150
40 130
60 110
20 80
35 45
30 26
40 10
-1
80
5 5
20 10
30 20
50 11
72 9
81 4
90 16
102 5
110 19
131 19
140 10
140 31
100 41
140 51
162 39
171 19
180 40
170 61
190 81
170 90
170 100
200 100
180 131
160 130
151 140
181 149
162 162
170 171
118 170
130 150
130 110
152 92
130 71
120 70
119 91
110 100
100 80
100 60
80 70
90 80
69 101
91 101
100 111
100 121
115 131
105 139
120 145
95 160
100 180
120 190
140 180
150 190
130 190
150 200
170 190
205 200
170 220
170 230
150 232
134 220
122 230
110 230
90 210
80 191
60 191
80 169
70 141
81 122
60 110
40 130
20 130
40 99
40 71
59 59
28 50
41 41
10 31
2 20
9 11
5 5
-1
33
10 0
15 5
23 3
22 12
34 7
30 19
52 16
65 27
56 45
56 52
49 47
48 72
41 56
40 66
33 63
27 56
24 55
24 69
18 68
15 52
27 44
23 21
14 19
15 43
9 49
13 56
10 67
6 57
3 69
0 54
8 36
1 18
10 0
