3
135
98
3
74 66 2
68 10 2
1 71 2
63 6 2
84 44 2
56 64 1
18 45 1
17 75 1
47 82 2
35 37 2
58 90 2
55 28 2
73 51 1
95 41 2
60 24 2
48 21 2
7 34 2
85 52 1
70 3 2
53 94 2
83 14 2
11 13 2
15 50 2
40 67 1
33 81 2
96 98 1
88 92 2
31 87 1
38 89 2
12 91 1
65 97 1
19 61 2
22 39 1
86 30 2
20 43 2
26 16 1
76 57 1
46 72 1
49 25 1
29 23 2
78 93 2
9 4 1
62 69 2
5 2 1
32 79 1
54 42 2
36 8 1
77 27 1
59 80 2
70 29 1
13 45 1
10 39 1
24 32 2
37 24 2
61 90 2
73 30 2
30 23 2
89 27 1
45 98 1
56 25 1
67 37 1
65 46 1
92 25 1
25 17 2
38 33 1
39 68 1
17 40 1
43 52 1
96 36 1
22 49 1
58 61 1
5 68 2
83 62 1
1 25 2
34 87 1
95 81 2
43 97 1
26 96 2
8 93 2
2 17 2
62 30 2
45 89 1
20 73 2
20 30 2
14 63 1
76 15 1
19 57 2
2 38 1
35 2 1
60 3 1
35 21 1
27 65 1
85 40 1
63 60 2
40 64 2
10 47 2
67 28 1
70 61 2
31 20 1
66 40 1
92 60 1
34 1 1
52 16 1
72 44 2
91 5 2
39 83 2
22 19 1
81 88 2
15 21 1
1 42 2
59 89 1
37 78 1
17 32 1
19 5 2
61 51 1
68 90 1
97 13 1
33 94 1
84 64 1
12 64 2
23 78 2
5 70 1
12 84 1
70 27 1
23 73 2
68 59 2
36 64 2
31 58 2
50 28 1
69 39 2
48 94 2
73 74 1
61 42 2
23 67 1
93 90 2
200
76
1000
46 62 95
1 17 956
75 40 674
25 31 103
69 32 657
61 24 326
14 23 369
36 7 434
66 34 532
27 54 163
56 55 92
67 68 897
38 35 793
42 11 32
10 30 964
64 4 520
50 52 521
59 44 727
47 74 923
73 5 794
43 57 989
20 37 666
9 70 672
12 63 655
2 22 44
49 76 980
8 71 978
51 39 569
41 33 139
28 58 252
6 60 884
65 48 130
45 53 664
15 3 161
29 18 440
13 26 878
16 21 83
19 72 576
5 18 74
10 40 827
23 45 998
75 45 835
54 74 516
10 32 271
19 67 133
69 21 502
45 37 423
43 61 562
76 2 559
55 25 807
23 56 658
67 54 919
64 39 564
20 75 368
26 35 331
46 30 891
58 75 533
21 57 751
47 56 43
39 35 161
53 57 714
13 55 525
67 10 438
65 43 874
40 9 9
9 63 433
23 33 280
3 48 407
59 4 94
17 60 305
13 19 175
60 47 682
51 37 753
60 42 910
19 5 118
38 29 216
39 52 847
60 54 229
68 52 372
38 8 112
76 21 847
27 20 684
32 70 528
62 70 989
59 12 657
19 49 214
42 12 86
21 11 386
63 2 572
33 55 308
63 55 712
35 5 790
69 53 506
48 54 577
8 52 597
64 71 574
73 36 223
72 56 260
49 42 91
18 75 92
70 1 285
6 35 282
53 27 47
18 15 488
68 38 78
69 42 653
43 54 430
27 49 973
38 22 794
67 39 419
58 48 241
43 53 825
32 45 138
14 3 862
49 70 551
59 63 297
64 45 33
27 11 562
2 49 834
2 55 577
32 36 98
62 2 389
50 33 960
4 62 36
49 34 909
71 17 180
58 20 420
6 62 572
34 63 613
8 4 634
19 35 726
18 20 611
8 9 851
59 13 214
20 1 184
67 71 559
55 52 274
72 73 196
23 30 859
54 37 498
47 72 247
15 13 348
60 36 624
17 19 652
20 54 575
57 60 662
65 39 928
17 50 125
30 12 532
29 65 265
48 51 339
26 65 851
20 76 1
54 50 145
31 23 472
31 7 358
69 25 237
58 56 311
69 40 963
57 76 113
47 32 228
51 75 690
38 34 777
57 11 516
36 58 548
71 12 243
19 20 585
74 1 770
7 69 487
60 65 468
68 35 226
58 25 835
9 62 635
13 52 337
70 31 607
21 15 954
40 24 539
56 44 871
64 27 167
68 26 293
42 55 647
66 23 411
67 41 232
64 53 7
21 62 48
49 22 331
34 1 918
33 56 275
38 43 837
26 50 867
22 15 841
14 4 651
15 70 96
68 57 13
36 2 507
34 50 71
62 23 49
38 56 720
74 33 719
76 75 282
200
176
21
156 74 2
3 162 16
149 53 14
6 128 18
112 142 14
166 105 1
171 139 19
71 42 9
56 51 8
140 45 4
126 132 14
88 10 2
152 14 9
19 54 18
8 33 6
1 48 4
123 64 8
85 172 3
83 68 16
173 118 14
52 36 20
111 34 20
131 174 18
151 108 1
28 146 2
143 65 11
110 24 10
150 145 15
134 59 10
170 163 7
89 124 15
101 60 18
158 32 1
35 76 20
165 63 12
25 99 3
91 38 13
20 98 19
106 161 13
69 27 12
122 119 18
175 95 17
127 125 10
26 96 5
46 137 13
77 92 10
154 79 19
15 22 1
50 136 16
114 82 13
23 102 17
129 31 15
121 7 10
13 130 20
113 84 4
160 58 16
176 116 18
120 66 1
40 39 5
159 93 5
75 107 7
78 138 5
141 104 9
55 167 2
90 21 19
168 97 9
9 169 9
115 86 7
30 87 18
70 148 10
81 57 2
109 49 15
72 5 1
117 44 5
43 37 12
2 153 1
73 103 5
157 29 4
47 17 8
67 144 14
12 61 6
94 18 1
16 11 4
135 100 6
164 62 10
80 41 18
147 155 5
4 133 14
74 131 11
42 103 6
119 169 3
69 25 17
9 135 3
152 41 3
38 128 16
47 106 14
84 44 13
148 43 4
121 116 2
68 45 8
33 52 13
89 56 12
111 114 3
151 8 20
103 20 18
96 17 5
28 157 17
134 44 13
73 125 12
6 21 9
57 85 8
64 173 3
79 107 12
69 145 8
97 71 19
58 55 3
103 82 4
119 103 15
143 63 12
123 68 16
135 124 4
154 11 16
116 89 6
15 46 18
98 142 17
24 87 19
31 13 8
18 19 2
112 162 16
43 172 12
170 130 11
29 171 18
60 110 18
85 12 15
143 174 4
95 85 19
53 115 3
92 20 2
57 20 11
84 62 2
67 120 15
174 148 5
3 96 18
96 4 17
11 34 18
2 16 11
144 68 9
11 159 17
8 103 8
118 11 17
47 77 20
105 74 20
157 140 3
94 124 14
42 134 4
164 23 15
82 167 11
114 65 5
54 136 20
13 77 2
162 123 10
13 115 20
76 159 7
58 76 2
7 127 4
30 113 13
84 167 3
36 92 16
171 7 9
71 108 18
81 109 18
19 136 18
1 127 3
140 64 10
144 135 12
136 164 1
96 135 19
26 122 20
32 38 14
139 115 14
136 28 20
95 81 8
109 16 11
173 57 10
131 113 5
6 169 13
28 39 14
85 65 11
136 96 16
145 59 10
58 82 14
117 64 14
176 173 9
86 57 6
106 152 8
98 148 19
24 137 15
88 136 2
72 59 14
18 97 11
