(1,1)
(2,2)
(3,29)
(4,28)
(5,27)
(6,26)
(7,25)
(8,24)
(9,23)
(10,22)
(11,21)
(12,20)
(13,19)
(14,18)
(15,17)
(16,16)
(17,15)
(18,14)
(19,13)
(20,12)
(21,11)
(22,10)
(23,9)
(24,8)
(25,7)
(26,6)
(27,5)
(28,4)
(29,3)
(30,34)
(31,33)
(32,32)
(33,31)
(34,30)
(35,93)
(36,92)
(37,91)
(38,90)
(39,89)
(40,88)
(41,87)
(42,86)
(43,85)
(44,84)
(45,83)
(46,82)
(47,81)
(48,80)
(49,79)
(50,78)
(51,77)
(52,76)
(53,75)
(54,74)
(55,73)
(56,72)
(57,71)
(58,70)
(59,69)
(60,68)
(61,67)
(62,66)
(63,65)
(64,64)
(65,63)
(66,62)
(67,61)
(68,60)
(69,59)
(70,58)
(71,57)
(72,56)
(73,55)
(74,54)
(75,53)
(76,52)
(77,51)
(78,50)
(79,49)
(80,48)
(81,47)
(82,46)
(83,45)
(84,44)
(85,43)
(86,42)
(87,41)
(88,40)
(89,39)
(90,38)
(91,37)
(92,36)
(93,35)
(94,162)
(95,161)
(96,160)
(97,159)
(98,158)
(99,157)
(100,156)
(101,155)
(102,154)
(103,153)
(104,152)
(105,151)
(106,150)
(107,149)
(108,148)
(109,147)
(110,146)
(111,145)
(112,144)
(113,143)
(114,142)
(115,141)
(116,140)
(117,139)
(118,138)
(119,137)
(120,136)
(121,135)
(122,134)
(123,133)
(124,132)
(125,131)
(126,130)
(127,129)
(128,128)
(129,127)
(130,126)
(131,125)
(132,124)
(133,123)
(134,122)
(135,121)
(136,120)
(137,119)
(138,118)
(139,117)
(140,116)
(141,115)
(142,114)
(143,113)
(144,112)
(145,111)
(146,110)
(147,109)
(148,108)
(149,107)
(150,106)
(151,105)
(152,104)
(153,103)
(154,102)
(155,101)
(156,100)
(157,99)
(158,98)
(159,97)
(160,96)
(161,95)
(162,94)
