8
12  7  7  9 10 12  3 14
11  3  8  5  0 15 12  6
 2 14 13 11  8  5 13 12
14  7 12 13 11  8  5  7
15 12  0 10  8  4  8  3
 7  1  9  8  0  5 14  2
 4 12 13 12  1 10  8 15
 2  4 12 13 13  1  4 12
15
 3  1  0  3  0  1  1  0  0  0  1  0  1  1  1
 0  1  1  2  2  3  1  3  0  0  3  3  2  1  2
 0  0  3  0  3  0  1  1  0  1  1  2  2  3  3
 3  3  0  1  2  2  0  3  1  0  3  1  3  1  2
 2  1  2  1  1  1  1  3  2  2  0  0  0  2  3
 3  2  2  3  3  0  1  3  0  2  0  3  3  3  1
 1  1  2  3  3  0  1  0  3  3  2  3  3  2  2
 2  1  0  1  0  3  1  1  2  1  0  2  1  3  2
 2  1  3  0  0  2  0  1  3  3  1  1  3  0  0
 1  3  1  1  0  2  0  1  3  2  3  3  1  0  3
 3  2  0  2  2  0  1  3  2  0  2  3  1  1  3
 1  2  2  3  3  2  1  3  0  0  2  3  0  3  3
 3  2  1  3  0  3  3  1  2  1  1  1  0  3  2
 0  0  1  2  3  0  1  0  0  1  1  2  0  1  1
 3  0  3  0  3  3  3  2  1  2  0  2  3  0  1
18
 1  1  0  1  0  1  1  0  0  0  1  0  1  1  1  0  1  1
 0  0  1  1  1  0  0  1  1  0  1  0  0  0  1  0  1  0
 1  1  0  1  1  0  0  1  1  1  1  0  1  0  0  0  1  1
 0  1  1  1  1  0  0  1  0  1  1  1  1  1  0  0  0  0
 0  0  1  1  0  0  1  1  0  1  1  0  0  0  1  1  1  1
 1  1  0  1  1  0  1  0  1  1  0  1  1  0  0  0  1  0
 1  0  1  1  1  0  1  0  0  1  1  0  0  1  1  0  0  0
 0  1  1  1  1  1  1  0  0  1  1  1  1  0  0  0  1  1
 0  1  1  1  0  1  1  0  0  0  0  0  1  1  0  0  0  1
 1  1  1  1  0  0  1  1  0  1  1  0  0  0  1  0  1  1
 1  0  1  1  0  1  1  1  0  1  1  1  0  1  0  0  0  1
 0  1  0  1  0  0  1  1  0  0  1  1  1  0  1  0  1  1
 1  0  1  0  0  0  1  0  1  1  0  0  0  1  1  1  0  0
 1  1  1  1  1  0  0  0  0  1  0  1  0  1  1  1  1  1
 0  0  0  1  0  0  1  0  1  1  1  1  1  0  0  0  1  1
 0  1  1  0  0  1  1  1  1  0  0  0  0  0  1  0  0  1
 0  1  1  0  0  1  1  1  1  0  1  1  1  1  0  1  1  1
 0  0  0  1  1  0  0  1  1  1  1  1  0  1  0  1  1  1
24
 1  0  1  0  1  1  0  1  1  0  1  1  1  0  1  1  1  0  0  0  0  1  0  0
 1  1  1  1  0  1  0  1  1  0  0  1  1  0  0  0  0  1  1  1  1  0  1  1
 0  1  1  0  0  0  0  1  1  0  1  1  1  1  1  1  1  1  0  0  1  0  1  0
 0  0  1  1  1  0  0  1  1  0  0  0  0  0  1  1  0  0  1  0  0  0  1  1
 1  1  0  0  1  1  0  1  1  0  1  0  0  1  0  0  1  0  0  1  0  1  1  1
 0  0  1  0  0  0  1  1  1  1  1  0  0  0  0  0  0  1  0  0  0  0  0  0
 0  0  1  1  0  0  0  0  0  1  0  0  1  1  1  0  1  1  0  1  1  0  1  1
 1  0  1  0  0  0  0  1  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1
 1  0  0  0  1  0  1  0  0  1  0  0  1  0  1  1  0  1  0  0  1  0  0  0
 1  1  0  1  0  0  0  1  1  0  0  0  0  1  0  0  0  1  1  1  1  0  1  1
 0  1  1  1  1  0  0  0  1  0  1  1  1  1  1  0  0  1  0  0  0  0  1  1
 1  0  0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  0  1  1  1  0  1  1
 1  1  0  1  0  1  0  1  1  1  0  1  0  1  0  1  1  0  1  1  0  1  0  0
 1  1  0  1  1  1  0  0  1  0  0  1  1  0  0  0  1  1  0  0  0  0  1  1
 0  0  0  0  1  0  0  1  0  0  0  1  0  0  0  1  1  0  0  0  0  0  1  0
 1  1  0  1  1  1  0  1  1  0  1  0  1  1  1  1  0  1  0  0  0  0  1  1
 0  1  1  1  1  0  1  1  1  1  0  0  0  1  1  1  1  0  1  0  0  1  1  0
 0  0  0  0  0  1  1  1  0  1  0  1  1  1  0  1  0  1  1  0  0  1  1  1
 1  0  0  1  1  1  1  0  1  1  0  0  0  0  1  0  1  1  0  0  0  0  1  0
 1  1  0  1  0  1  1  1  1  1  1  1  0  0  1  0  0  1  0  0  1  1  1  0
 0  1  1  0  1  0  0  1  1  0  0  1  1  1  1  0  0  0  1  1  0  0  1  0
 0  1  1  1  0  0  0  0  1  1  0  0  1  0  1  1  0  0  0  1  1  1  1  0
 1  1  1  0  1  0  0  1  1  1  1  1  1  1  1  0  0  1  1  1  1  0  0  1
 0  1  0  0  0  1  0  0  0  1  0  0  1  0  1  0  0  0  1  1  1  0  0  1
0
