64
2
4
1 0
2 3
3 1
4 2
1
0 10
2
4
1 2
2 1
3 3
4 0
1
0 10
2
4
1 2
2 1
3 3
4 0
1
0 10
2
4
1 1
2 2
3 3
4 0
1
0 10
2
4
1 0
2 2
3 1
4 3
1
0 255
2
4
1 3
2 1
3 0
4 2
1
0 255
2
4
1 1
2 3
3 2
4 0
1
0 255
2
4
1 2
2 1
3 0
4 3
1
0 255
2
4
1 0
2 2
3 3
4 1
4
1 1
2 3
3 4
4 2
2
4
1 3
2 0
3 2
4 1
4
1 4
2 1
3 3
4 2
2
4
1 1
2 2
3 0
4 3
4
1 2
2 3
3 1
4 4
2
4
1 2
2 0
3 3
4 1
4
1 3
2 1
3 4
4 2
2
4
1 2
2 3
3 0
4 1
4
1 24
2 39
3 10
4 10
2
4
1 1
2 0
3 3
4 2
4
1 10
2 10
3 39
4 24
2
4
1 0
2 3
3 1
4 2
4
1 10
2 39
3 10
4 24
2
4
1 1
2 0
3 2
4 3
4
1 10
2 10
3 24
4 39
2
4
1 3
2 0
3 1
4 2
4
1 210
2 27
3 102
4 27
2
4
1 3
2 2
3 0
4 1
4
1 210
2 27
3 27
4 102
2
4
1 3
2 1
3 2
4 0
4
1 210
2 102
3 27
4 27
2
4
1 3
2 0
3 2
4 1
4
1 210
2 27
3 27
4 102
2
4
1 0
2 1
3 2
4 3
4
1 27
2 134
3 103
4 27
2
4
1 3
2 1
3 2
4 0
4
1 27
2 134
3 103
4 27
2
4
1 2
2 0
3 3
4 1
4
1 103
2 27
3 27
4 134
2
4
1 2
2 0
3 1
4 3
4
1 103
2 27
3 134
4 27
2
4
1 1
2 0
3 2
4 3
4
1 34
2 14
3 34
4 203
2
4
1 2
2 1
3 3
4 0
4
1 34
2 34
3 203
4 14
2
4
1 0
2 3
3 1
4 2
4
1 14
2 203
3 34
4 34
2
4
1 0
2 3
3 2
4 1
4
1 14
2 203
3 34
4 34
2
4
1 3
2 0
3 2
4 1
4
1 90
2 48
3 20
4 90
2
4
1 0
2 1
3 2
4 3
4
1 48
2 90
3 20
4 90
2
4
1 2
2 0
3 3
4 1
4
1 20
2 48
3 90
4 90
2
4
1 1
2 0
3 3
4 2
4
1 90
2 48
3 90
4 20
2
4
1 3
2 2
3 1
4 0
4
1 156
2 156
3 78
4 34
2
4
1 2
2 0
3 1
4 3
4
1 156
2 34
3 78
4 156
2
4
1 0
2 1
3 2
4 3
4
1 34
2 78
3 156
4 156
2
4
1 0
2 2
3 1
4 3
4
1 34
2 156
3 78
4 156
2
4
1 1
2 2
3 0
4 3
4
1 35
2 48
3 35
4 48
2
4
1 2
2 0
3 1
4 3
4
1 48
2 35
3 35
4 48
2
4
1 2
2 3
3 0
4 1
4
1 48
2 48
3 35
4 35
2
4
1 3
2 0
3 2
4 1
4
1 48
2 35
3 48
4 35
2
4
1 2
2 1
3 3
4 0
4
1 89
2 20
3 20
4 89
2
4
1 1
2 2
3 3
4 0
4
1 20
2 89
3 20
4 89
2
4
1 1
2 2
3 3
4 0
4
1 20
2 89
3 20
4 89
2
4
1 1
2 2
3 0
4 3
4
1 20
2 89
3 89
4 20
2
4
1 2
2 3
3 0
4 1
4
1 99
2 77
3 77
4 99
2
4
1 3
2 1
3 2
4 0
4
1 77
2 99
3 99
4 77
2
4
1 3
2 2
3 0
4 1
4
1 77
2 99
3 77
4 99
2
4
1 3
2 0
3 1
4 2
4
1 77
2 77
3 99
4 99
2
4
1 3
2 1
3 0
4 2
4
1 3
2 3
3 1
4 3
2
4
1 0
2 3
3 1
4 2
4
1 1
2 3
3 3
4 3
2
4
1 3
2 1
3 2
4 0
4
1 3
2 3
3 3
4 1
2
4
1 3
2 1
3 0
4 2
4
1 3
2 3
3 1
4 3
2
4
1 1
2 2
3 3
4 0
4
1 7
2 5
3 5
4 5
2
4
1 1
2 3
3 0
4 2
4
1 7
2 5
3 5
4 5
2
4
1 2
2 3
3 0
4 1
4
1 5
2 5
3 5
4 7
2
4
1 2
2 1
3 3
4 0
4
1 5
2 7
3 5
4 5
2
4
1 0
2 2
3 1
4 3
4
1 103
2 4
3 103
4 103
2
4
1 3
2 1
3 0
4 2
4
1 103
2 103
3 103
4 4
2
4
1 0
2 3
3 1
4 2
4
1 103
2 103
3 103
4 4
2
4
1 0
2 3
3 2
4 1
4
1 103
2 103
3 4
4 103
2
4
1 0
2 3
3 2
4 1
4
1 255
2 254
3 255
4 255
2
4
1 2
2 3
3 1
4 0
4
1 255
2 254
3 255
4 255
2
4
1 3
2 1
3 0
4 2
4
1 254
2 255
3 255
4 255
2
4
1 0
2 3
3 1
4 2
4
1 255
2 254
3 255
4 255
